steps,guidance,clip_score,aesthetic_score,aes_v2_score,hps_v2_score,elapsed_ms,seed
8,1.3,0.2334926724433899,4.043846607208252,4.2427496910095215,0.11834716796875,359,1078274659
8,1.54,0.23315519094467163,4.453577041625977,4.712570667266846,0.1466064453125,411,1639350703
8,2.5,0.2753905951976776,5.578024864196777,5.755089282989502,0.1470947265625,383,1910186652
8,2.93,0.23915527760982513,5.881893634796143,5.863746643066406,0.1912841796875,386,439658974
8,3.5,0.25272655487060547,4.974494934082031,4.955672740936279,0.15283203125,410,480686165
8,3.58,0.30087122321128845,4.772601127624512,4.652073860168457,0.11383056640625,358,1774396479
8,3.76,0.2985568940639496,5.985352516174316,5.862491130828857,0.18115234375,359,1421167063
8,4.25,0.2576002776622772,5.9542107582092285,6.190402030944824,0.1761474609375,385,59370590
8,4.3,0.2539146840572357,5.345816612243652,5.950495719909668,0.1776123046875,399,841182301
8,4.39,0.2797955572605133,5.995813369750977,5.952814102172852,0.191650390625,397,1337610384
8,6.72,0.3025805950164795,5.670366287231445,5.655412673950195,0.1922607421875,389,2012647162
8,6.84,0.3463790714740753,4.414097785949707,4.102771282196045,0.10821533203125,417,1071955980
8,6.99,0.2549735903739929,6.6237993240356445,6.48426628112793,0.1387939453125,385,468620365
8,7.01,0.27226895093917847,6.144612789154053,6.234951972961426,0.1485595703125,411,1613531053
8,7.27,0.30011385679244995,6.036265850067139,6.171923637390137,0.1593017578125,417,1815455176
8,8.06,0.2855061888694763,5.900598049163818,5.769913673400879,0.208984375,403,2104196744
8,8.09,0.2827693819999695,5.966487884521484,6.299912452697754,0.152099609375,415,436911855
8,8.34,0.270086407661438,4.7266740798950195,5.2013325691223145,0.1402587890625,385,1853793151
8,8.53,0.23707450926303864,5.47265100479126,5.3949480056762695,0.1436767578125,427,790161344
8,8.59,0.32159584760665894,5.698908805847168,6.0172295570373535,0.162353515625,421,892408738
8,8.92,0.21765568852424622,2.7663938999176025,2.8706822395324707,0.1199951171875,418,305038219
8,9,0.22914062440395355,5.540262699127197,5.690027236938477,0.1724853515625,431,1640675974
8,9.49,0.28888291120529175,5.328971862792969,5.4668073654174805,0.15234375,361,1916232027
8,9.58,0.25639188289642334,6.262629985809326,6.574086666107178,0.179931640625,383,1954071359
8,9.61,0.2915506362915039,6.056085586547852,6.204771041870117,0.1845703125,394,1346919080
8,9.74,0.2636997401714325,6.058361053466797,6.176050186157227,0.126220703125,375,1339507702
8,9.89,0.2622876465320587,5.938967704772949,6.256078720092773,0.160400390625,360,555662272
8,10.08,0.19741302728652954,4.636538505554199,5.5803070068359375,0.1715087890625,358,793070388
8,10.24,0.24412496387958527,4.197525978088379,4.493330001831055,0.1470947265625,429,643731364
8,10.53,0.29261723160743713,4.506699562072754,4.560529708862305,0.11328125,398,202217299
8,10.62,0.34532883763313293,4.087138652801514,4.436604976654053,0.136962890625,358,2074175776
8,10.74,0.252370148897171,6.142226219177246,6.166646957397461,0.19677734375,432,2065060294
8,10.79,0.3134922981262207,3.7539210319519043,4.337272644042969,0.1380615234375,587,640764968
8,10.94,0.29375532269477844,3.8818464279174805,3.781210422515869,0.130126953125,415,1690146282
8,11.86,0.3053683340549469,3.3380494117736816,3.606593608856201,0.1221923828125,402,602888722
8,11.93,0.3064259886741638,4.735739707946777,5.194483757019043,0.1844482421875,429,1765606325
9,0.72,0.2518407106399536,6.252166748046875,6.563417911529541,0.137451171875,289,386381953
9,1.01,0.18196578323841095,3.9367828369140625,4.177480697631836,0.09307861328125,412,1456346309
9,1.39,0.2994597256183624,5.257120609283447,5.281181812286377,0.174560546875,444,545410203
9,1.62,0.23342448472976685,3.9188857078552246,4.155590534210205,0.12481689453125,434,1013659116
9,1.65,0.250870943069458,6.106412410736084,5.9579925537109375,0.1512451171875,397,1814107672
9,1.82,0.2254781574010849,5.012570858001709,4.972004413604736,0.159423828125,423,1243735442
9,1.83,0.2507598400115967,5.794654846191406,5.823844909667969,0.1331787109375,439,1166054907
9,2.27,0.25637707114219666,5.576020240783691,5.497135162353516,0.1263427734375,431,1106366589
9,2.39,0.3086632788181305,5.73027229309082,5.418988227844238,0.1573486328125,402,239180360
9,3.04,0.26197588443756104,4.290764331817627,4.091442108154297,0.11859130859375,447,60427148
9,3.09,0.2852885127067566,5.865755081176758,6.055330276489258,0.13330078125,466,955409036
9,3.26,0.255862295627594,4.593347549438477,4.560429096221924,0.135498046875,464,1004463341
9,3.39,0.25993242859840393,3.88131046295166,3.875988006591797,0.135009765625,405,1655852149
9,4.03,0.2765040099620819,6.4146575927734375,6.547504901885986,0.2027587890625,481,528781193
9,4.38,0.3145628571510315,5.539200782775879,5.561103820800781,0.1700439453125,491,283240168
